0.000;3.823;7.646
101.000;3.820;7.640
201.000;3.823;7.646
301.000;3.823;7.646
401.000;3.823;7.647
501.000;3.820;7.640
601.000;3.823;7.646
701.000;3.823;7.647
802.000;3.823;7.647
902.000;3.821;7.642
1.002.000;3.823;7.646
1.102.000;3.823;7.646
1.202.000;3.823;7.647
1.302.000;3.821;7.641
1.402.000;3.823;7.646
1.502.000;3.824;7.647
1.602.000;3.824;7.647
1.703.000;3.823;7.646
1.803.000;3.823;7.646
1.903.000;3.823;7.646
2.003.000;3.820;7.640
2.103.000;3.820;7.640
2.203.000;3.824;7.647
2.303.000;3.823;7.646
2.403.000;3.823;7.646
2.503.000;3.823;7.646
2.603.000;3.823;7.647
2.703.000;3.823;7.646
2.803.000;3.823;7.646
2.903.000;3.824;7.647
3.003.000;3.824;7.647
3.103.000;3.822;7.645
3.203.000;3.822;7.644
3.303.000;3.823;7.646
3.403.000;3.823;7.646
3.504.000;3.823;7.646
3.604.000;3.824;7.647
3.705.000;3.823;7.646
3.805.000;3.823;7.647
3.905.000;3.823;7.646
4.005.000;3.823;7.646
4.105.000;3.823;7.646
4.205.000;3.820;7.639
4.305.000;3.820;7.639
4.405.000;3.822;7.645
4.505.000;3.823;7.647
4.606.000;3.823;7.646
4.706.000;3.823;7.646
4.806.000;3.823;7.646
4.906.000;3.823;7.646
5.007.000;3.820;7.639
5.107.000;3.822;7.645
5.207.000;3.823;7.646
5.307.000;3.823;7.646
5.407.000;3.824;7.647
5.507.000;3.823;7.646
5.607.000;3.822;7.645
5.708.000;3.823;7.646
5.808.000;3.823;7.647
5.908.000;3.822;7.645
6.008.000;3.823;7.647
6.108.000;3.823;7.646
6.209.000;3.823;7.646
6.309.000;3.823;7.646
6.409.000;3.823;7.646
6.510.000;3.822;7.645
6.611.000;3.823;7.646
6.712.000;3.823;7.646
6.813.000;3.823;7.646
6.913.000;3.822;7.645
7.013.000;3.822;7.645
7.113.000;3.823;7.647
7.213.000;3.822;7.645
7.314.000;3.823;7.646
7.415.000;3.820;7.640
7.515.000;3.822;7.645
7.616.000;3.820;7.639
7.716.000;3.820;7.639
7.816.000;3.822;7.645
7.916.000;3.823;7.646
8.016.000;3.823;7.647
8.117.000;3.823;7.646
8.218.000;3.823;7.646
8.318.000;3.823;7.646
8.418.000;3.820;7.639
8.518.000;3.820;7.640
8.619.000;3.823;7.647
8.719.000;3.823;7.646
8.819.000;3.820;7.640
8.919.000;3.820;7.640
9.020.000;3.821;7.641
9.120.000;3.820;7.640
9.221.000;3.820;7.639
9.322.000;3.821;7.641
9.422.000;3.817;7.634
9.522.000;3.820;7.639
9.622.000;3.817;7.633
9.722.000;3.820;7.640
9.823.000;3.820;7.639
9.923.000;3.820;7.639
10.023.000;3.820;7.639
10.123.000;3.820;7.639
10.223.000;3.816;7.633
10.323.000;3.817;7.634
10.423.000;3.817;7.634
10.523.000;3.820;7.640
10.624.000;3.817;7.633
10.724.000;3.814;7.629
10.824.000;3.817;7.633
10.925.000;3.818;7.635
11.025.000;3.817;7.635
11.125.000;3.816;7.632
11.225.000;3.817;7.633
11.325.000;3.817;7.634
11.425.000;3.817;7.635
11.525.000;3.819;7.637
11.625.000;3.817;7.634
11.725.000;3.817;7.634
11.826.000;3.817;7.634
11.926.000;3.817;7.633
12.027.000;3.817;7.634
12.127.000;3.817;7.634
12.228.000;3.816;7.633
12.328.000;3.817;7.635
12.428.000;3.817;7.633
12.528.000;3.817;7.633
12.628.000;3.818;7.637
12.729.000;3.817;7.635
12.829.000;3.817;7.633
12.929.000;3.818;7.635
13.029.000;3.817;7.634
13.129.000;3.813;7.627
13.230.000;3.817;7.635
13.330.000;3.817;7.634
13.430.000;3.817;7.634
13.530.000;3.817;7.635
13.630.000;3.816;7.633
13.730.000;3.816;7.633
13.831.000;3.818;7.635
13.931.000;3.817;7.633
14.031.000;3.817;7.635
14.132.000;3.817;7.633
14.233.000;3.817;7.633
14.333.000;3.818;7.635
14.434.000;3.817;7.634
14.535.000;3.818;7.635
14.635.000;3.817;7.634
14.735.000;3.816;7.633
14.836.000;3.817;7.633
14.936.000;3.816;7.633
15.037.000;3.817;7.634
15.137.000;3.817;7.633
15.237.000;3.816;7.633
15.338.000;3.817;7.635
15.439.000;3.816;7.633
15.539.000;3.816;7.633
15.639.000;3.817;7.634
15.740.000;3.814;7.627
15.840.000;3.817;7.634
15.940.000;3.817;7.634
16.041.000;3.817;7.633
16.141.000;3.813;7.626
16.242.000;3.817;7.633
16.342.000;3.814;7.628
16.442.000;3.813;7.626
16.542.000;3.813;7.627
16.642.000;3.817;7.634
16.742.000;3.814;7.628
16.842.000;3.817;7.634
16.942.000;3.817;7.634
17.042.000;3.814;7.627
17.142.000;3.816;7.633
17.242.000;3.814;7.627
17.342.000;3.813;7.626
17.442.000;3.813;7.627
17.542.000;3.817;7.635
17.642.000;3.814;7.628
17.742.000;3.817;7.634
17.842.000;3.814;7.627
17.942.000;3.814;7.628
18.042.000;3.813;7.627
18.142.000;3.814;7.627
18.242.000;3.815;7.630
18.342.000;3.813;7.627
18.442.000;3.814;7.627
18.542.000;3.814;7.629
18.642.000;3.814;7.627
18.742.000;3.813;7.626
18.842.000;3.814;7.628
18.942.000;3.814;7.628
19.042.000;3.814;7.628
19.142.000;3.811;7.622
19.242.000;3.811;7.621
19.342.000;3.814;7.627
19.442.000;3.811;7.622
19.543.000;3.813;7.627
19.643.000;3.811;7.621
19.743.000;3.813;7.626
19.843.000;3.814;7.627
19.943.000;3.814;7.628
20.043.000;3.814;7.628
20.143.000;3.813;7.627
20.243.000;3.814;7.627
20.343.000;3.814;7.627
20.443.000;3.811;7.622
20.543.000;3.810;7.620
20.643.000;3.812;7.624
20.743.000;3.811;7.621
20.843.000;3.813;7.627
20.943.000;3.814;7.629
21.043.000;3.810;7.620
21.144.000;3.811;7.623
21.244.000;3.811;7.622
21.344.000;3.811;7.622
21.444.000;3.811;7.622
21.544.000;3.811;7.622
21.644.000;3.811;7.622
21.744.000;3.811;7.621
21.844.000;3.811;7.623
21.944.000;3.813;7.626
22.044.000;3.811;7.622
22.144.000;3.811;7.621
22.244.000;3.811;7.622
22.344.000;3.810;7.620
22.444.000;3.811;7.622
22.544.000;3.811;7.621
22.644.000;3.810;7.620
22.745.000;3.811;7.622
22.845.000;3.811;7.621
22.945.000;3.810;7.620
23.045.000;3.811;7.622
23.145.000;3.810;7.620
23.245.000;3.811;7.622
23.345.000;3.811;7.622
23.445.000;3.810;7.620
23.545.000;3.811;7.622
23.645.000;3.811;7.622
23.745.000;3.811;7.622
23.845.000;3.811;7.622
23.945.000;3.811;7.622
24.045.000;3.811;7.621
24.145.000;3.811;7.623
24.245.000;3.811;7.622
24.346.000;3.811;7.621
24.446.000;3.811;7.623
24.546.000;3.811;7.622
24.646.000;3.811;7.622
24.746.000;3.811;7.622
24.846.000;3.811;7.622
24.946.000;3.811;7.622
25.046.000;3.811;7.621
25.146.000;3.811;7.621
25.246.000;3.811;7.621
25.346.000;3.811;7.621
25.446.000;3.811;7.621
25.546.000;3.811;7.621
25.646.000;3.811;7.622
25.746.000;3.811;7.622
25.846.000;3.811;7.621
25.946.000;3.811;7.622
26.047.000;3.810;7.620
26.147.000;3.811;7.623
26.247.000;3.811;7.621
26.348.000;3.811;7.622
26.448.000;3.811;7.622
26.548.000;3.810;7.620
26.649.000;3.811;7.621
26.750.000;3.811;7.621
26.850.000;3.812;7.624
26.950.000;3.811;7.623
27.052.000;3.811;7.622
27.153.000;3.811;7.621
27.254.000;3.811;7.622
27.354.000;3.812;7.624
27.454.000;3.811;7.621
27.554.000;3.811;7.622
27.654.000;3.811;7.622
27.754.000;3.811;7.622
27.855.000;3.811;7.621
27.955.000;3.811;7.623
28.056.000;3.811;7.621
28.156.000;3.811;7.622
28.257.000;3.811;7.623
28.358.000;3.811;7.622
28.459.000;3.810;7.620
28.559.000;3.810;7.620
28.659.000;3.810;7.620
28.759.000;3.811;7.621
28.859.000;3.811;7.622
28.960.000;3.811;7.622
29.060.000;3.811;7.622
29.160.000;3.811;7.621
29.260.000;3.811;7.621
29.360.000;3.809;7.618
29.461.000;3.804;7.609
29.561.000;3.810;7.620
29.661.000;3.811;7.622
29.761.000;3.811;7.622
29.861.000;3.811;7.622
29.961.000;3.811;7.622
30.062.000;3.810;7.620
30.163.000;3.808;7.616
30.263.000;3.811;7.622
30.363.000;3.810;7.620
30.463.000;3.810;7.620
30.563.000;3.811;7.621
30.664.000;3.811;7.621
30.764.000;3.811;7.621
30.864.000;3.811;7.621
30.964.000;3.810;7.619
31.064.000;3.811;7.621
31.164.000;3.811;7.622
31.264.000;3.811;7.621
31.364.000;3.811;7.621
31.464.000;3.810;7.620
31.564.000;3.810;7.620
31.664.000;3.811;7.621
31.764.000;3.807;7.615
31.864.000;3.811;7.621
31.964.000;3.807;7.615
32.064.000;3.811;7.622
32.164.000;3.811;7.622
32.264.000;3.811;7.622
32.364.000;3.811;7.622
32.464.000;3.810;7.620
32.565.000;3.811;7.621
32.666.000;3.811;7.621
32.766.000;3.809;7.618
32.866.000;3.810;7.620
32.966.000;3.811;7.622
33.067.000;3.811;7.623
33.167.000;3.807;7.615
33.267.000;3.811;7.622
33.367.000;3.811;7.622
33.467.000;3.810;7.620
33.567.000;3.808;7.616
33.667.000;3.811;7.621
33.767.000;3.811;7.622
